rank,city,population
719,Morongo Valley,"3,514"
720,Humboldt Hill,"3,498"
721,Loyola,"3,491"
722,Arbuckle,"3,484"
723,Monte Sereno,"3,479"
724,Jamestown,"3,478"
725,Riverdale,"3,477"
726 TIE,Avalon and East Richmond Heights,"3,460"
727,Agua Dulce,"3,451"
728,Greenfield,"3,447"
729,San Antonio Heights,"3,441"
730,Yountville,"3,436"
731 TIE,Day Valley and Clearlake Riviera,"3,410"
732,Copperopolis,"3,400"
733,Auburn Lake Trails,"3,388"
734,Kelseyville,"3,382"
735,Rio Dell,"3,379"
736,Lake California,"3,377"
737,Reliez Valley,"3,354"
738,Mountain View Acres,"3,337"
739,Lockeford,"3,333"
740,Santa Rosa Valley,"3,312"
741,Arnold,"3,288"
742,Seacliff,"3,280"
743 TIE,Casa Conejo and Granite Hills,"3,267"
744,Lucerne,"3,266"
745,Forestville,"3,264"
746,Meadow Vista,"3,263"
747,Crockett,"3,242"
748,Auberry,"3,238"
749,Mono Vista,"3,236"
750,South Oroville,"3,235"
751,Parksdale,"3,234"
752 TIE,"Mount Shasta, Cutten, and Kennedy","3,223"
753,Carmel-by-the-Sea,"3,220"
754,Moss Beach,"3,214"
755,Ridgemark,"3,212"
756,East Oakdale,"3,201"
757,Pine Hills,"3,186"
758,San Miguel CDP,"3,172"
759,Hoopa,"3,167"
760,Rancho Santa Fe,"3,156"
761,Nevada City,"3,152"
762,Meadowbrook,"3,142"
763,Stallion Springs,"3,139"
764,Montalvin Manor,"3,099"
765,Anza,"3,075"
766,Borrego Springs,"3,073"
767,Winchester,"3,068"
768,Las Lomas,"3,046"
769,Rollingwood,"3,015"
770,Kelly Ridge,"3,006"
771,Fairbanks Ranch,"3,002"
772,Burney,"3,000"
773,Sutter,"2,997"
774,San Andreas,"2,994"
775,Marin City,"2,993"
776,Lake Nacimiento,"2,956"
777,Campo,"2,955"
778,Palo Cedro,"2,931"
779,Nice,"2,929"
780,Rose Hills,"2,927"
781,Green Acres,"2,918"
782,Terra Bella,"2,910"
783,Pine Grove,"2,891"
784,Pajaro,"2,882"
785,Channel Islands Beach,"2,870"
786,Bonny Doon,"2,868"
787,Weed,"2,862"
788,Montara,"2,833"
789,Strathmore,"2,830"
790,Crest,"2,828"
791,Homestead Valley,"2,789"
792,Dixon Lane-Meadow Creek,"2,780"
793,West Bishop,"2,754"
794,Alturas,"2,715"
795,Aromas,"2,708"
796 TIE,Desert View Highlands and Thermal,"2,676"
797,Sutter Creek,"2,646"
798,Coronita,"2,639"
799 TIE,Amesti and Penngrove,"2,637"
800,Pine Mountain Lake,"2,636"
801,Angwin,"2,633"
802,Cabazon,"2,629"
803,Mountain View,"2,622"
804,Bayview CDP,"2,619"
805,Caruthers,"2,613"
806,Vista Santa Rosa,"2,607"
807,Buckhorn,"2,597"
808,Frazier Park,"2,592"
809,Piru,"2,587"
810,Columbia,"2,577"
811,Clearlake Oaks,"2,551"
812,Mission Canyon,"2,540"
813,La Selva Beach,"2,531"
814,Bertsch-Oceanview,"2,520"
815,Tipton,"2,519"
816,Dogtown,"2,516"
817,Cayucos,"2,505"
818,Lexington Hills,"2,492"
819,East Quincy,"2,463"
820,Janesville,"2,461"
821,Shingletown,"2,442"
822,East Sonora,"2,431"
823,Hartley,"2,430"
824,Pine Mountain Club,"2,422"
825,Sky Valley,"2,411"
826,Loma Rica,"2,409"
827,Sleepy Hollow,"2,401"
828,Val Verde,"2,399"
829,Aptos Hills-Larkin Valley,"2,383"
830,Twain Harte,"2,378"
831 TIE,Lost Hills and Poplar-Cotton Center,"2,370"
832,Richgrove,"2,358"
833,Corralitos,"2,342"
834,Ross,"2,338"
835,Hayfork,"2,324"
836,Parkwood,"2,307"
837,Weldon,"2,303"
838,Ahwahnee,"2,296"
839,Hamilton City,"2,263"
840,Georgetown,"2,255"
841,Wofford Heights,"2,213"
842,Santa Nella,"2,211"
843,Weedpatch,"2,206"
844,Chester,"2,187"
845,Edwards AFB,"2,135"
846,Bethel Island,"2,131"
847,Belvedere,"2,126"
848,San Pasqual,"2,101"
849 TIE,Portola and South Taft,"2,100"
850,Los Molinos,"2,098"
851,Collierville,"2,094"
852,Soulsbyville,"2,092"
853,San Juan Bautista,"2,089"
854,Boron,"2,086"
855,Three Rivers,"2,053"
856,Brookdale,"2,043"
857 TIE,Lone Pine and Westmorland,"2,014"
858,Bodfish,"2,008"
859,Romoland,"2,005"
860,Taft Heights,"1,999"
861 TIE,Murphys and Colfax,"1,995"
862,Lakeview,"1,977"
863,Easton,"1,972"
864,Biggs,"1,964"
865,Bell Canyon,"1,946"
866,Woodlands,"1,933"
867,Lagunitas-Forest Knolls,"1,924"
868,Rouse,"1,913"
869,Patterson Tract,"1,888"
870,Rainbow,"1,884"
871,Big Pine,"1,875"
872 TIE,Pine Canyon and Camino,"1,871"
873,Linden,"1,863"
874,Redwood Valley,"1,843"
875,Los Alamos,"1,839"
876,Toro Canyon,"1,835"
877,Tuolumne City,"1,798"
878,Bayview,"1,782"
879,Calwa,"1,776"
880,Julian,"1,768"
881,Lake Don Pedro,"1,765"
882,Boronda,"1,760"
883,Lake Sherwood,"1,759"
884,China Lake Acres,"1,757"
885,South Dos Palos,"1,747"
886,Rolling Hills,"1,739"
887,Seeley,"1,729"
888,Hidden Hills,"1,725"
889,Willow Creek,"1,720"
890,Dunsmuir,"1,707"
891,Monument Hills,"1,702"
892,Foresthill,"1,692"
893,Red Corral,"1,687"
894,Graton,"1,683"
895,Woodville,"1,680"
896,Diablo Grande,"1,669"
897,Green Valley CDP,"1,654"
898,Home Garden,"1,653"
899 TIE,Elizabeth Lake and Allendale,"1,651"
900,Pine Valley,"1,645"
901,Berry Creek,"1,637"
902,Taft Mosswood,"1,636"
903,Quincy,"1,630"
904,Laton,"1,622"
905,Knightsen,"1,596"
906,Penn Valley,"1,593"
907 TIE,Del Rey Oaks and Le Grand,"1,592"
908,Elkhorn,"1,588"
909,Warm Springs,"1,586"
910,Avila Beach,"1,576"
911,Rancho Tehama Reserve,"1,572"
912,Searles Valley,"1,565"
913,Ladera,"1,557"
914 TIE,Leona Valley and Sunnyside-Tahoe City,"1,555"
915,Kernville,"1,549"
916,Westwood,"1,541"
917,Littlerock,"1,535"
918,Mariposa,"1,526"
919,London,"1,518"
920,Los Ranchos,"1,516"
921,Colma,"1,507"
922,Temelec,"1,500"
923,Descanso,"1,499"
924,Pala,"1,490"
925,Bolinas,"1,483"
926,Irwindale,"1,472"
927,Walnut Grove,"1,452"
928,Black Point-Green Point,"1,431"
929,Biola,"1,427"
930,Woodacre,"1,410"
931,Del Rio,"1,399"
932,Ferndale,"1,398"
933,Covelo,"1,394"
934,Tahoe Vista,"1,392"
935,Airport,"1,389"
936,Sheridan,"1,385"
937,Dunnigan,"1,382"
938,Inverness,"1,379"
939,Lake Riverside,"1,375"
940,Del Rey,"1,358"
941,Buttonwillow,"1,337"
942,Newcastle,"1,321"
943,Norris Canyon,"1,313"
944,Eldridge,"1,312"
945,Forest Ranch,"1,304"
946,Beale AFB,"1,303"
947,Cobb,"1,295"
948,Deer Park,"1,294"
949,Santa Margarita,"1,291"
950,Acalanes Ridge,"1,285"
951,Callender,"1,282"
952 TIE,Lower Lake and Forest Meadows,"1,276"
953,Castle Hill,"1,271"
954,Dollar Point,"1,261"
955,Diablo,"1,255"
956,Clay,"1,252"
957,Parklawn,"1,249"
958,Redway,"1,247"
959,Hydesville,"1,244"
960,Kettleman City,"1,242"
961,Lebec,"1,239"
962 TIE,Cedar Ridge and Fairmead,"1,235"
963,Montague,"1,226"
964 TIE,Lewiston and Summerland,"1,222"
965,Blue Lake,"1,208"
966,Los Olivos,"1,202"
967,Hasley Canyon,"1,195"
968,Westhaven-Moonstone,"1,187"
969 TIE,Chualar and Teviston,"1,185"
970,Sea Ranch,"1,169"
971,Shandon,"1,168"
972,Soda Bay,"1,163"
973,Challenge-Brownsville,"1,161"
974 TIE,Herald and Santa Susana,"1,160"
975,Lompico,"1,154"
976,Laytonville,"1,152"
977,Penryn,"1,150"
978,Byron,"1,140"
979,Saticoy,"1,133"
980,Occidental,"1,132"
981,Desert Shores,"1,128"
982,Matheny,"1,125"
983,Stratford,"1,121"
984,Knights Landing,"1,117"
985,Middletown,"1,114"
986,Mount Hermon,"1,110"
987,Upper Lake,"1,095"
988 TIE,Grizzly Flats and Pasatiempo,"1,093"
989,Klamath,"1,088"
990,Big River,"1,084"
991,Monte Rio,"1,080"
992,Plymouth,"1,078"
993,Camanche North Shore,"1,070"
994,Maxwell,"1,067"
995,Pioneer,"1,066"
996,North Edwards,"1,054"
997 TIE,Riverdale Park and West Park,"1,053"
998,Indio Hills,"1,048"
999,Gerber,"1,044"
"1,000",Shasta,"1,043"
"1,001",Grayson,"1,041"
"1,002",Green Valley,"1,036"
"1,003",Tahoma,"1,034"
"1,004 TIE",Greenville and Maricopa,"1,026"
"1,005",Boonville,"1,018"
"1,006",Blacklake,"1,016"
"1,007",Shell Ridge,"1,014"
"1,008",Thornton,"1,004"
"1,009 TIE",Fruitdale and Aguanga,989
"1,010",Inyokern,988
"1,011",Talmage,986
"1,012",Whitewater,984
"1,013",Crowley Lake,980
"1,014",La Honda,979
"1,015",Johnstonville,973
"1,016",Springville,967
"1,017 TIE",Spring Valley and Camanche Village,964
"1,018",Silverado Resort,948
"1,019 TIE",McCloud and Butte Valley,945
"1,020",Mi-Wuk Village,935
"1,021",Mendocino,932
"1,022",Greeley Hill,927
"1,023",McClellan Park,926
"1,024",Sunol,922
"1,025",Bradbury,921
"1,026",Fuller Acres,917
"1,027 TIE",Bodega Bay and Fort Dick,912
"1,028",Smith River,906
"1,029 TIE",Rough and Ready and Happy Camp,905
"1,030",Tulelake,902
"1,031",Point Reyes Station,895
"1,032",Malaga,884
"1,033",Alpaugh,871
"1,034",Douglas City,868
"1,035",Minkler,867
"1,036",Geyserville,861
"1,037",Dorris,860
"1,038",Kenwood,852
"1,039",Plainview,846
"1,040",Cohasset,830
"1,041",Catheys Valley,829
"1,042",Loleta,828
"1,043",Fieldbrook,827
"1,044",Mountain Mesa,823
"1,045",Garberville,818
"1,046",Mountain Gate,815
"1,047",March ARB,809
"1,048 TIE",Tranquillity and Alhambra Valley,805
"1,049",Shelter Cove,803
"1,050",Delleker,802
"1,051",Calpella,799
"1,052",Manila,798
"1,053",Isleton,794
"1,054",Rolling Hills CDP,793
"1,055",Indianola,791
"1,056",Lake of the Woods,790
"1,057",Tuttletown,787
"1,058",Butte Creek Canyon,780
"1,059",Sultana,779
"1,060",East Tulare Villa,773
"1,061",Ballard,768
"1,062",Mesa Verde,766
"1,063",Squirrel Mountain Valley,760
"1,064",Niland,756
"1,065",Loyalton,740
"1,066",Alto,732
"1,067",Traver,731
"1,068 TIE",Clyde and Zayante,729
"1,069",Lytle Creek,725
"1,070 TIE",Millville and Graeagle,724
"1,071",Glen Ellen,714
"1,072",Peters,708
"1,073",Walker,704
"1,074",Linnell Camp,696
"1,075 TIE",Fort Jones and Bangor,695
"1,076",Spreckels,692
"1,077",Mokelumne Hill,691
"1,078",West Point,688
"1,079",Scotia,681
"1,080",Etna,678
"1,081",Dustin Acres,677
"1,082",North Gate,667
"1,083",Potter Valley,665
"1,084 TIE",Hopland and Bootjack,661
"1,085",Chalfant,660
"1,086",Junction City,658
"1,087",Gasquet,657
"1,088",Potrero,648
"1,089",La Vina,637
"1,090",Avery,636
"1,091",Patton Village,632
"1,092",Los Berros,623
"1,093",Cleone,622
"1,094 TIE",Ducor and Fall River Mills,616
"1,095",Alta,615
"1,096",June Lake,611
"1,097",Hickman,604
"1,098",Bend,603
"1,099",Oak Glen,602
"1,100",Pescadero,595
"1,101",Smith Corner,594
"1,102",Independence,593
"1,103",Madison,581
"1,104",Shaver Lake,580
"1,105 TIE",Bass Lake and Westley,575
"1,106",Cold Springs,556
"1,107",Bridgeport,553
"1,108 TIE",Fulton and Dobbins,551
"1,109",Lake Hughes,544
"1,110",Wilkerson,543
"1,111 TIE",New Cuyama and Buena Vista,542
"1,112",Stinson Beach,541
"1,113 TIE","Jacumba, Lanare, and Groveland",540
"1,114",Ripley,538
"1,115 TIE",West Goshen and Doyle,536
"1,116",Waterloo,534
"1,117",Allensworth,531
"1,118",Coloma,521
"1,119",Dorrington,519
"1,120",Carnelian Bay,518
"1,121",San Geronimo,510
"1,122 TIE",Salton Sea Beach and Grangeville,508
"1,123",Hamilton Branch,505
"1,124",Valley Acres,504
"1,125 TIE",Caspar and Cantua Creek,500
"1,126",Round Valley,482
"1,127",Wallace,479
"1,128",Beckwourth,478
"1,129 TIE",California Pines and Anchor Bay,473
"1,130 TIE",Lakehead and Keene,469
"1,131",Sierra Brooks,467
"1,132",Point Arena,460
"1,133",Onyx,457
"1,134",Meadow Valley,453
"1,135",Lake Almanor Country Club,451
"1,136",Garden Farms,449
"1,137 TIE","Chilcoot-Vinton, Seville, and Friant",446
"1,138",San Simeon,445
"1,139",Tres Pinos,443
"1,140 TIE",Baker and Vallecito,442
"1,141",Miranda,441
"1,142",Cedarville,437
"1,143",Tehama,435
"1,144",Nipinnawasee,434
"1,145",Terminous,429
"1,146",Yolo,425
"1,147",East Orosi,423
"1,148",Benbow,422
"1,149",Coleville,419
"1,150",Delft Colony,412
"1,151",Sierra Village,411
"1,152 TIE",Concow and Clarksburg,402
"1,153",Forbestown,396
"1,154",San Ardo,392
"1,155 TIE",River Pines and Winterhaven,390
"1,156",Davenport,388
"1,157",Midpines,379
"1,158",Centerville,378
"1,159",French Gulch,373
"1,160 TIE",Rio Oso and El Portal,372
"1,161",Lockwood,368
"1,162",Paradise Park,367
"1,163 TIE","Lake Almanor Peninsula, Volta, and Cressey",366
"1,164",Mad River,361
"1,165",Boulevard,359
"1,166 TIE",Ballico and Robbins,347
"1,167",Cowan,342
"1,168",Bloomfield,338
"1,169",Yosemite Valley,337
"1,170 TIE","Acampo, Plumas Eureka, and McArthur",334
"1,171",El Nido,331
"1,172",Tonyville,329
"1,173",Orick,328
"1,174",Courtland,326
"1,175 TIE",Sand City and Whitley Gardens,325
"1,176",San Lucas,324
"1,177",Crows Landing,322
"1,178",Philo,319
"1,179 TIE",Rail Road Flat and Oak Shores,316
"1,180 TIE",Hiouchi and Grenada,314
"1,181",Victor,313
"1,182 TIE",Dos Palos Y and Manton,310
"1,183 TIE",Richfield and Princeton,309
"1,184",Trinidad,307
"1,185",Honcut,306
"1,186 TIE",Meridian and Muir Beach,304
"1,187",Raisin City,303
"1,188 TIE",Derby Acres and Newell,301
"1,189 TIE",Cazadero and Lemon Cove,298
"1,190 TIE",Edmundson Acres and Grimes,296
"1,191",Artois,295
"1,192",College City,292
"1,193",Downieville,290
"1,194",Fields Landing,287
"1,195 TIE",Tooleville and Nord,286
"1,196 TIE",Valley Home and Stirling City,284
"1,197",Mexican Colony,283
"1,198 TIE",Benton and Fiddletown,279
"1,199",Trinity Village,278
"1,200 TIE",Mesa and Stevinson,275
"1,201",Bear Creek,273
"1,202",Cromberg,272
"1,203",Iron Horse,269
"1,204 TIE","Hornbrook, Bieber, and Hat Creek",266
"1,205",Industry,264
"1,206",Yankee Hill,260
"1,207",Desert Center,256
"1,208",Fort Washington,255
"1,209",Ruth,254
"1,210",Burnt Ranch,250
"1,211",Three Rocks,248
"1,212",Greenhorn,247
"1,213",Dillon Beach,246
"1,214 TIE",Guinda and North San Juan,245
"1,215",Hood,244
"1,216",Hyampom,241
"1,217",Sierraville,239
"1,218",Snelling,238
"1,219 TIE","Proberta, Moskowite Corner, Herlong, and Moss Landing",237
"1,220",Sierra City,235
"1,221",Richvale,234
"1,222",Bombay Beach,231
"1,223 TIE",Trowbridge and Samoa,229
"1,224 TIE",Mono City and Alpine Village,224
"1,225 TIE","Calpine, East Nicolaus, and Mountain Ranch",223
"1,226",Vernon,222
"1,227",Farmington,220
"1,228",Weott,219
"1,229 TIE",Mesa Vista and Lee Vining,217
"1,230",Ocotillo,215
"1,231 TIE",Lake Almanor West and Bodega,211
"1,232",Rackerby,210
"1,233",Greenview,208
"1,234 TIE",Cassel and Martell,207
"1,235 TIE","Crescent Mills, Spaulding, Pine Flat, and Cherokee Strip",206
"1,236",Adin,205
"1,237",Yettem,201
"1,238",Amador City,200
"1,239 TIE",Vina and Trinity Center,198
"1,240",Elmira,193
"1,241 TIE",Sisquoc and Markleeville,191
"1,242 TIE","Kirkwood, Port Costa, and Las Flores CDP",190
"1,243",Lindcove,189
"1,244",Keswick,188
"1,245",Tomales,187
"1,246",Drytown,186
"1,247",Smartsville,185
"1,248 TIE",Edna and Lodoga,184
"1,249 TIE",Canby and Dutch Flat,183
"1,250 TIE",Mabie and East Shore,181
"1,251",Fort Bidwell,180
"1,252",Verdi,179
"1,253",Swall Meadows,178
"1,254",Tupman,177
"1,255 TIE",Montgomery Creek and Nicolaus,176
"1,256",Clear Creek,175
"1,257",Paradise CDP,174
"1,258",Timber Cove,171
"1,259 TIE",Franklin CDP and Comptche,167
"1,260",Fairhaven,165
"1,261",Monterey Park Tract,164
"1,262",Long Barn,162
"1,263",Big Lagoon,161
"1,264 TIE","Litchfield, Round Mountain, and Clipper Mills",160
"1,265 TIE",Manchester and Pike,159
"1,266 TIE",Camptonville and Bowles,158
"1,267",Bear Valley CDP,156
"1,268",Albion,153
"1,269 TIE","Coffee Creek, Monson, and Palo Verde",152
"1,270 TIE",Hardwick and Big Creek,151
"1,271",Topaz,150
"1,272",Valley Ford,148
"1,273 TIE",Milford and Casmalia,147
"1,274",Whitehawk,144
"1,275 TIE",Carrick and Westside,143
"1,276",C-Road,140
"1,277",Sunny Slopes,139
"1,278",Elk Creek,138
"1,279",Alderpoint,137
"1,280 TIE",Furnace Creek and Mineral,136
"1,281",Loma Mar,134
"1,282 TIE",Rodriguez Camp and Stonyford,133
"1,283",Olancha,131
"1,284",Daphnedale Park,129
"1,285 TIE","Kingvale, Bear Valley, and Valley Ranch",128
"1,286",Phillipsville,124
"1,287 TIE",Cold Springs CDP and Taylorsville,123
"1,288 TIE",Pajaro Dunes and Jenner,122
"1,289 TIE",Tecopa and Monmouth,120
"1,290",Flournoy,117
"1,291",Bluewater,116
"1,292 TIE",Rutherford and Coulterville,115
"1,293",Johannesburg,113
"1,294 TIE",Salmon Creek and Wawona,111
"1,295",Paskenta,110
"1,296 TIE",Sereno del Mar and Mohawk Vista,107
"1,297",Camp Nelson,106
"1,298",Volcano,104
"1,299",Mount Hebron,103
"1,300 TIE",Tuttle and McKittrick,102
"1,301",Washington,101
"1,302",Creston,98
"1,303",El Rancho,96
"1,304",Gazelle,95
"1,305 TIE",Soda Springs and Little River,94
"1,306 TIE","Myers Flat, Chinese Camp, and Mettler",90
"1,307",Robinson Mill,89
"1,308",Cherokee,88
"1,309 TIE",Strawberry CDP and New Pine Creek,87
"1,310",Macdoel,86
"1,311",Little Valley,84
"1,312",Nicasio,81
"1,313 TIE",Waukena and Floriston,80
"1,314 TIE",Big Bend and Indian Falls,79
"1,315 TIE",Clio and Leggett,77
"1,316",Twain,75
"1,317 TIE",Mount Laguna and Butte Meadows,74
"1,318",Gold Mountain,73
"1,319 TIE","Garey, Lake Davis, and Edgewood",72
"1,320 TIE",Keeler and Lake City,71
"1,321",Aspen Springs,70
"1,322 TIE","Bradley, Hartland, and Goodyears Bar",69
"1,323",Lookout,68
"1,324",Mountain Center,66
"1,325",La Porte,65
"1,326",Old Station,64
"1,327",Tennant,63
"1,328",Cartago,62
"1,329",Redcrest,61
"1,330",Pierpoint,59
"1,331 TIE","Kennedy Meadows, Freeport, and Likely",58
"1,332",Carmet,55
"1,333",Paynes Creek,54
"1,334",Fellows,52
"1,335 TIE",Ponderosa and Keddie,51
"1,336",California Hot Springs,50
"1,337 TIE",Fish Camp and Oakville,49
"1,338 TIE","Eagleville, McGee Creek, and Randsburg",45
"1,339 TIE",Panorama Heights and Sattley,44
"1,340",Homewood Canyon,40
"1,341 TIE",Blairsden and Hornitos,38
"1,342",Cuyama,37
"1,343",Darwin,36
"1,344",Idlewild,32
"1,345 TIE",Canyondam and Alleghany,30
"1,346",Little Grass Valley,25
"1,347 TIE",Prattville and Sequoia Crest,24
"1,348",Posey,23
"1,349 TIE","Shoshone, Johnsville, and Bucks Lake",22
"1,350",Buck Meadows,21
"1,351 TIE","Spring Garden, Nubieber, and Tobin",19
"1,352 TIE",Belden and McClenney Tract,15
"1,353 TIE",Wilsonia and Sugarloaf Saw Mill,14
"1,354",Trona,11
"1,355",Cedar Slope,10
"1,356",Poso Park,9
"1,357 TIE",Pearsonville and Warner Valley,8
"1,358",Sugarloaf Village,7
"1,359",Almanor,3
"1,360 TIE",Graniteville and Caribou,1
