,case,date,time,location,beat,bias
0,17-29506,01/31/2017,09:00 AM,5700 BLOCK OF BROADWAY,6B,anti-black
1,17-38423,02/08/2017,06:43 PM,4000 BLOCK OF LA TARRIGA WAY,5B,anti-hispanic
2,17-41871,02/10/2017,10:30 PM,3600 BLOCK OF RIVERSIDE BLVD,4A,anti-islamic (muslim)
3,17-1803960,02/14/2017,05:57 PM,7400 BLOCK OF AMHERST ST,5A,anti-black
4,17-1802867,02/25/2017,10:37 PM,1400 BLOCK OF U ST,3A,anti-asian/pacific islander
5,17-64136,03/06/2017,01:02 PM,100 BLOCK OF 45TH ST,6D,anti-jewish
6,17-1805140,04/09/2017,06:30 PM,3400 BLOCK OF ALTOS AVE,2B,anti-transgender
7,17-106872,04/15/2017,10:30 PM,800 BLOCK OF 5TH AVE,4A,anti-black
8,17-1805447,04/18/2017,09:20 AM,MACK RD / VALLEY HI DR,5C,anti-black
9,17-1806259,05/02/2017,08:00 PM,2100 BLOCK OF AARON WAY,4B,anti-black
10,17-141312,05/19/2017,11:30 AM,6500 BLOCK OF 4TH AVE,6C,anti-black
11,17-147782,05/25/2017,08:49 PM,20TH ST / K ST,3B,anti-homosexual
12,17-170583,06/17/2017,12:00 AM,1000 BLOCK OF 26TH ST,3B,anti-jew/anti-catholic
13,17-181751,06/28/2017,04:24 PM,1100 BLOCK OF DEL PASO BLVD,2C,anti-islamic (muslim)
14,17-200378,07/15/2017,11:20 AM,1700 BLOCK OF 16TH ST,3A,anti-transgender
15,17-206875,07/21/2017,02:38 PM,3200 BLOCK OFMARYSVILLE BLVD,2B,anti-other ethnicity/national origin
16,17-1810832,08/09/2017,09:30 PM,4400 BLOCK OF TRUXEL RD,1A,anti-black
17,17-1811343,08/22/2017,07:30 PM,4700 BLOCK OF 67TH ST,6C,anti-other ethnicity/national origin
18,17-1811370,08/22/2017,04:30 PM,300 BLOCK OF 13TH ST,3A,anti-homosexual
19,17-248941,08/30/2017,12:00 AM,1200 BLOCK OF T ST,3A,anti-jewish
20,17-295016,10/11/2017,10:55 AM,8100 BLOCK OF GRANDSTAFF DR,5C,anti-black
21,17-1816500,12/05/2017,12:15 PM,1000 BLOCK OF 7TH ST,3M,anti-black
22,17-363871,12/20/2017,05:00 PM,6600 BLOCK OF BRUCEVILLE RD,5C,anti-islamic
23,18-18360,01/19/2018,09:53 AM,6400 BLOCK OF JACINTO AVE,5C,anti-homosexual
24,18-26675,01/27/2018,12:50 AM,1900 BLOCK OF Q ST,3B,anti-homosexual
25,18-27908,01/28/2018,09:47 AM,4200 BLOCK OF 8TH AVE,6A,anti-religious
26,18-32605,02/01/2018,02:53 PM,900 OF BLOCK DEL PASO BLVD,2C,anti-black
27,18-1805451,02/18/2018,01:21 PM,1300 BLOCK OF 58TH ST,6D,anti-jewish
28,18-1802111,02/20/2018,03:20 PM,1700 BLOCK OF K ST,3B,anti-black
29,18-71012,03/08/2018,12:45 PM,5000 BLOCK OF 58TH ST,6B,anti-homosexual
30,18-1803164,03/13/2018,04:00 PM,6300 BLOCK OF MACK RD,5C,anti-asian
31,18-78099,03/14/2018,06:48 PM,1900 BLOCK OF L ST,3B,anti-homosexual
32,18-1805378,04/24/2018,05:30 PM,28TH ST / N ST,3B,anti-black
33,18-1805816,05/03/2018,06:00 PM,300 BLOCK OF U ST,3A,anti-homosexual
34,18-135815,05/06/2018,12:30 PM,800 BLOCK OF T ST,3A,anti-religious
35,18-1806178,05/06/2018,01:36 AM,36TH ST / H ST,6D,anti-black
36,18-152978,05/20/2018,12:00 AM,I ST / 20TH ST,3B,anti-homosexual
37,18-161642,05/28/2018,11:03 PM,O ST / 16TH ST,3B,anti-homosexual
38,18-167192,06/02/2018,05:54 PM,1600 BLOCK OF F ST,3B,anti-homosexual
39,18-177258,06/11/2018,01:21 PM,200 BLOCK OF 29TH ST,3B,anti-reproductive rights
40,18-196608,06/27/2018,09:05 PM,1900 BLOCK OF L ST,3B,anti-homosexual
41,18-198454,06/29/2018,12:19 PM,3700 BLOCK OF NORTHGATE BLVD,1C,anti-homosexual
42,18-211636,07/09/2018,08:22 AM,8000 BLOCK OF FOLSOM BLVD,6E,anti-black
43,18-1809330,07/16/2018,07:30 PM,2700 BLOCK OF NORMINGTON DR,1C,anti-hispanic
44,18-230850,07/24/2018,09:59 PM,600 BLOCK OF ALHAMBRA BLVD,6D,anti-hispanic
45,18-243965,08/04/2018,02:24 PM,6600 BLOCK OF MACK RD,5C,anti-homosexual
46,18-257564,08/14/2018,10:00 AM,3000 BLOCK OF FREEPORT BLVD,4A,anti-black
47,18-261759,08/18/2018,07:32 PM,1900 BLOCK OF L ST,3B,anti-homosexual
48,18-1812022,09/01/2018,08:35 PM,1400 BLOCK OF GRAND AVE,2A,anti-white
49,18-1812396,09/11/2018,11:30 AM,100 BLOCK OF GRACE AVE,2A,anti-hispanic
50,18-1812141,09/12/2018,07:12 PM,300 BLOCK OF U ST,3A,anti-homosexual
51,18-304153,09/23/2018,02:18 AM,2000 BLOCK OF J ST,3B,anti-homosexual
52,18-318482,10/05/2018,01:01 PM,5900 BLOCK OF ELVAS AVE,6D,anti-catholic
53,18-1813574,10/10/2018,10:00 AM,7000 BLOCK OF CRANLEIGH AVE,5C,anti-black
54,18-1814193,10/22/2018,05:13 PM,2300 BLOCK OF STOCKTON BLVD,6B,anti-black
55,18-1814761,10/31/2018,07:00 PM,1200 BLOCK OF FRONT ST,3M,anti-black
56,18-351248,11/03/2018,12:11 AM,20TH ST / L ST,3B,anti-homosexual
57,18-1814943,11/04/2018,01:20 PM,6000 BLOCK OF 40TH AVE,6B,anti-jewish
58,18-362645,11/13/2018,10:57 AM,3500 BLOCK OF FLORIN RD,5B,anti-transgender
59,18-366200,11/16/2018,06:46 PM,4200 BLOCK OF AUBURN BLVD,2A,anti-homosexual
60,18-4376982,11/27/2018,12:25 PM,2900 BLOCK OF FREEPORT BLVD,4A,anti-homosexual
61,18-398190,12/17/2018,10:31 AM,Y ST / ALHAMBRA BLVD,6A,anti-black
62,18-406846,12/25/2018,04:46 PM,1900 BLOCK OF MIDDLEBERRY RD,2C,anti-black
63,19-14471,01/12/2019,09:59 PM,2200 BLOCK OF SANDCASTLE WAY,1B,anti-homosexual
64,19-1800931,01/22/2019,12:30 PM,300 BLOCK OF COUNTRY RIVER WAY,4C,anti-black
65,19-60002,02/25/2019,08:34 AM,700 BLOCK OF 12TH ST,3M,anti-jewish
66,19-63022,02/27/2019,10:57 PM,TRUXEL RD / GATEWAY PARK BLVD,1A,anti-homosexual
67,19-1803457,03/15/2019,03:00 PM,2400 BLOCK OF CASTRO WAY,4A,anti-homosexual
68,19-1803545,03/16/2019,11:35 AM,4100 BLOCK OF CANBY WAY,4A,anti-homosexual
69,19-82158,03/17/2019,03:30 PM,TRUXEL RD / NATOMAS CROSSING DR,1A,anti-homosexual
70,19-87455,03/22/2019,10:48 AM,1700 BLOCK OF 16TH ST,3A,anti-white
71,19-1803925,03/26/2019,12:00 AM,2800 BLOCK OF R ST,3B,anti-jewish
72,19-97249,03/30/2019,07:57 PM,3700 BLOCK OF MODELL WAY,2A,anti-muslim
73,19-106985,04/07/2019,08:00 PM,600 BLOCK OF 38TH ST,6D,anti-jewish
74,19-125642,04/23/2019,07:48 PM,7800 BLOCK OF CENTER PKWY,5C,unknown
75,19-170924,05/31/2019,11:24 PM,1900 BLOCK OF L ST,3B,anti-homosexual
76,19-212518,07/05/2019,08:20 AM,6000 BLOCK OF MIDWAY ST,6C,anti-homosexual
77,19-221681,07/12/2019,07:12 PM,FOLSOM BLVD / NOTRE DAME DR,6E,anti-homosexual
78,19-1810959,08/06/2019,09:56 AM,600 BLOCK OF 4TH AVE,4A,anti-homosexual
79,19-252520,08/06/2019,07:06 PM,1100 BLOCK OF C ST,3A,anti-homosexual
80,19-1811321,08/12/2019,09:50 AM,600 BLOCK OF 5TH AVE,4A,anti-homosexual
81,19-278083,08/16/2019,07:08 PM,1900 BLOCK OF L ST,3B,anti-homosexual
82,19-281117,08/29/2019,07:04 PM,8100 BLOCK OF LA RIVIERA DR,6E,"anti-black
anti-jewish"
83,19-1812578,09/04/2019,02:15 PM,4500 BLOCK OF 14TH AVE,6A,anti-black
84,19-1813377,09/06/2019,08:00 PM,1500 BLOCK OF G ST,3A,anti-black
85,19-291981,09/07/2019,06:13 PM,7800 BLOCK OF SUMMERSDALE DR,5B,anti-physical disability
86,19-308057,09/21/2019,09:55 AM,2000 BLOCK OF 29TH ST,3B,anti-transgender
87,19-1814838,10/11/2019,05:05 PM,WINDBRIDGE DR / GREEN MIST CT,4C,anti-asian
88,19-363382,11/08/2019,04:50 PM,600 BLOCK OF N ST,3A,anti-jewish
89,19-1816332,11/13/2019,10:30 AM,3300 BLOCK OF C ST,6D,anti-jewish
90,19-1816793,11/22/2019,06:30 PM,1600 BLOCK OF W EL CAMINO AVE,1B,anti-homosexual
91,19-386706,11/29/2019,07:30 PM,3300 BLOCK OF C ST,6d,anti-jewish
92,19-417357,12/29/2019,08:52 PM,100 BLOCK OF 45TH ST,6D,"anti-homosexual
anti-jewish"
93,19-1818679,12/31/2019,03:57 PM,3600 BLOCK OF TRUXEL RD,1A,anti-black
94,20-49675,02/14/2020,10:00 AM,STOCKTON BLVD / 9TH AVE,6B,"anti-multi-racial group
anti-multi-religion group"
95,20-52014,02/15/2020,11:33 AM,2400 BLOCK OF RIVERSIDE BLVD,4A,anti-multi-racial group
96,20-1803314,02/23/2020,12:53 PM,2500 BLOCK J ST,3B,"anti-black
anti-homosexual"
97,20-67842,02/28/2020,08:00 PM,1700 BLOCK OF 65TH AVE,5A,"anti-multi-racial group
anti-multi-religion group"
98,20-1803867,02/29/2020,09:55 AM,1400 BLOCK OF 22ND ST,3B,anti-male homosexual (gay)
99,20-87622,03/18/2020,04:12 PM,800 BLOCK OF EL CAMINO AVE,2C,anti-black
100,20-92681,03/24/2020,06:30 AM,5900 BLOCK OF LAGUNA RANCH CIR,5C,anti-male homosexual (gay)
101,20-98300,03/28/2020,09:00 PM,4900 BLOCK OF MACK RD,5B,anti-multi-racial group
102,20-105502,04/07/2020,03:05 AM,2000 BLOCK OF 16TH ST,4A,anti-other religion 
103,20-1805047,04/21/2020,09:00 AM,2300 BLOCK OF MOSSY BANK DR,1B,anti-asian
104,20-1805425,04/22/2020,06:45 PM,3900 BLOCK OF MILLER WAY,6B,anti-black
105,20-127023,04/27/2020,10:08 PM,L ST / 17TH ST,3B,anti-transgender
106,20-129643,04/30/2020,09:01 AM,3500 BLOCK OF 3RD AVE,6A,anti-black
107,20-1805741,05/04/2020,04:30 PM,6000 BLOCK OF S LAND PARK DR,4C,anti-female homosexual (lesbian)
108,20-1805902,05/07/2020,10:30 AM,4100 BLOCK OF FLORIN PERKINS RD,6C,anti-black
109,20-142696,05/12/2020,1:00 AM,19TH ST / G ST,3B,anti-asian
110,20-145971,05/12/2020,08:38 PM,1900 BLOCK OF POTRERO WAY,4A,anti-other religion 
111,20-156842,05/25/2020,11:00 AM,3000 BLOCK OF BOWDEN SQUARE WAY,1A,anti-black
112,20-158338,05/25/2020,07:00 PM,1900 NEWPORT AVE,5A,anti-multi-racial group
113,20-161964,05/30/2020,08:42 AM,5400 BLOCK OF STOCKTON BLVD,6B,anti-multi-racial group
114,20-1807327,05/30/2020,10:30 PM,2300 BLOCK OF MOSSY BANK DR,1B,anti-transgender
115,20-1807187,05/31/2020,07:35 PM,2100 BLOCK OF ATRISCO CIR,1B,anti-multi-racial group
116,20-1807632,06/07/2020,11:15 AM,1000 BLOCK OF FRIENZA AVE,2B,anti-black
117,20-187792,06/18/2020,04:00 PM,1500 BLOCK OF J ST,3M,anti-black
118,20-184756,06/20/2020,06:59 PM,6600 BLOCK OF RICHLANDS WAY,5C,anti-black
119,20-191655,06/26/2020,10:10 PM,2000 BLOCK OF 16TH ST,3A,anti-black
120,20-190347,06/28/2020,06:37 PM,4900 BLOCK OF 76TH ST,6C,anti-asian
121,20-1809052,06/28/2020,07:30 PM,3100 BLOCK OF DISCOVERY SHORES WAY,1B,anti-arab
122,20-195097,06/29/2020,11:19 PM,NOB CT / GLENVILLE CIR,6E,anti-asian
123,20-196375,07/01/2020,07:46 AM,63RD ST / T ST,6B,anti-multi-racial group
124,20-203199,07/06/2020,10:29 PM,26TH ST / K ST,3B,anti-black
125,20-211887,07/15/2020,10:36 AM,R ST / 16TH ST,3B,anti-asian
126,20-216545,07/19/2020,05:26 PM,3900 BLOCK OF LIMESTONE WAY,5B,anti-asian
127,20-242200,08/12/2020,09:00 AM,21ST ST / N ST,3B,anti-white
128,20-244594,08/15/2020,03:00 AM,7700 BLOCK OF LA MANCHA WAY,5C,"anti-other religion (buddhism, hindusim, shintosim, etc.)"
129,20-247072,08/17/2020,09:56 PM,8100 BLOCK OF SHELDON RD,5C,anti-homosexual
130,20-250529,08/20/2020,10:00 PM,3400 BLOCK OF 2ND AVE,6A,anti-black
131,20-250473,08/21/2020,09:01 AM,3400 BLOCK OF BROADWAY,6A,"anti-homosexual
anti-transgender"
132,20-250641,08/21/2020,12:08 PM,3400 BLOCK OF 2ND AVE,6A,"anti-homosexual
anti-transgender"
133,20-266423,09/06/2020,01:30 PM,100 BLOCK OF STANFORD AVE,2C,anti-white
134,20-266504,09/06/2020,04:13 PM,SEANPATRICK DR / OASIS CT,2A,anti-homosexual
135,20-267270,09/07/2020,12:51 PM,5300 BLOCK OF 19TH AVE,6B,anti-black
136,20-271499,09/11/2020,02:35 PM,7700 BLOCK OF LA MANCHA WAY,5C,"anti-other religion (buddhism, hindusim, shintosim, etc.)"
137,20-271815,09/11/2020,09:20 PM,2500 BLOCK OF 33RD ST,6A,anti-other national origin
138,20-286288,09/26/2020,01:00 PM,2700 BLOCK OF 21ST ST,4A,anti-homosexual
139,20-295605,10/05/2020,01:10 PM,3500 BLOCK OF FORNEY WAY,6D,anti-black
140,20-304877,10/14/2020,11:06 AM,6800 BLOCK OF TRUDY WAY,4C,anti-black
141,20-1814104,10/16/2020,04:00 PM,1500 BLOCK OF 17TH ST,3B,anti-mulit-racial group
142,20-309579,10/18/2020,02:15 PM,3600 BLOCK OF NORTHGATE BLVD,1C,anti-asian
143,20-326993,11/04/2020,04:10 PM,2600 STONECREEK DR,1B,anti-asian/pacific islander
144,20-338172,11/16/2020,01:09 PM,7900 BLOCK OF DEER CREEK DR,5B,anti-black
145,20-338799,11/17/2020,07:55 AM,3600 BLOCK OF FRANKLIN BLVD,4A,anti-black
146,20-346379,11/25/2020,04:07 PM,2900 BLOCK OF ALTOS AVE,2B,anti-arab
